site_id,zone_id,site_name,latitude,longitude,site_type,available_grid_capacity_kw,road_accessibility_score,distance_to_nearest_station_km,land_availability
S071,Z030,Bommanahalli HP Fuel Station,12.887,77.6475,fuel_station,261,0.98,1.7,available
S072,Z031,Devanahalli Indian Oil Pump,13.2452,77.7164,fuel_station,166,0.96,1.5,available
S073,Z031,Devanahalli Highway Rest Stop,13.2503,77.713,highway_node,404,0.84,3.2,pending_approval
S074,Z032,Nelamangala Prestige Apartments Gate,13.0941,77.3852,residential_complex,114,0.5,1.4,available
S075,Z032,Nelamangala Highway Rest Stop,13.0932,77.3838,highway_node,362,0.81,2.7,available
S076,Z033,Anekal Prestige Apartments Gate,12.7146,77.7078,residential_complex,71,0.74,1.9,available
S077,Z033,Anekal Phoenix Marketcity Lot,12.7171,77.7042,commercial_complex,369,0.73,3.0,restricted
S078,Z034,Varthur Metro Parking Lot,12.9468,77.7384,parking_lot,130,0.65,3.8,available
S079,Z035,Domlur Purva Skydale Bay,12.9617,77.6471,residential_complex,142,0.44,1.7,available
S080,Z035,Domlur HP Fuel Station,12.9562,77.6318,fuel_station,143,0.98,3.4,available
